,#flies,#moths
1,1500,1915
2,1500,586
3,1500,532
4,1500,511
5,1500,492
6,1500,476
7,1500,463
8,1500,451
9,1500,426
10,1500,416
11,1500,412
12,1500,409
13,1500,406
14,1500,406
15,1500,407
16,1500,409
17,1500,416
18,1500,420
19,1500,427
20,1500,431
21,1500,441
22,1500,446
23,1500,451
24,1500,457
25,1500,462
26,1500,468
27,1500,475
28,1500,488
29,1500,495
30,1500,509
31,1500,532
32,1500,566
33,1500,593
34,1500,632
35,1500,663
36,1500,674
37,1500,732
38,1500,835
39,1500,1038
40,1500,1249
41,1500,1477
42,1500,1773
43,1500,878
44,3000,1629
45,3000,1244
46,3000,1137
47,3000,1040
48,3000,754
49,3000,703
50,3000,621
51,3000,557
52,3000,441
53,3000,420
54,3000,407
55,3000,405
56,3000,406
57,3000,414
58,3000,423
59,3000,481
60,3000,502
61,3000,524
62,3000,541
63,3000,557
64,3000,575
65,3000,584
66,3000,612
67,3000,643
68,3000,653
69,3000,685
70,3000,708
71,3000,744
72,3000,769
73,3000,849
74,3000,864
75,3000,878
76,3000,893
77,3000,1021
78,3000,1056
79,3000,1074
80,3000,1092
81,3000,1148
82,3000,1270
83,3000,1336
84,3000,1358
85,3000,1381
86,3000,1502
87,3000,1580
88,3000,1607
89,3000,1634
90,3000,1777
91,3000,1837
92,3000,2240
93,3000,2774
94,3000,2920
95,3000,1921
96,3000,1362
97,3000,1244
98,3000,1136
99,3000,954
100,3000,812
101,3000,754
102,3000,703
103,4500,2488
104,4500,2358
105,4500,955
106,4500,879
107,4500,411
108,4500,436
109,4500,517
110,4500,549
111,4500,622
112,4500,697
113,4500,720
114,4500,795
115,4500,808
116,4500,822
117,4500,908
118,4500,923
119,4500,955
120,4500,1110
121,4500,1208
122,4500,1228
123,4500,1292
124,4500,1313
125,4500,1405
126,4500,1453
127,4500,1528
128,4500,1718
129,4500,1963
130,4500,2098
131,4500,2543
132,4500,2810
133,4500,2985
134,4500,2865
135,4500,2487
136,4500,2357
137,4500,2217
138,4500,1491
139,6000,2064
140,6000,1774
141,6000,1492
142,6000,1363
143,6000,812
144,6000,659
145,6000,433
146,6000,603
147,6000,782
148,6000,971
149,6000,1168
150,6000,1187
151,6000,1429
152,6000,1554
153,6000,1868
154,6000,1931
155,6000,2030
156,6000,2064
157,6000,2133
158,6000,2466
159,6000,2582
160,6000,2698
161,6000,2736
162,6000,2845
163,6000,3013
164,6000,2794
165,6000,2071
166,9000,756
167,9000,939
168,9000,987
169,9000,1004
170,9000,1129
171,9000,1747
172,9000,1996
173,9000,2204
174,9000,2621
175,9000,2879
176,9000,2910
177,9000,2938
178,9000,2964
179,9000,3010
180,9000,2962
181,9000,1040
182,10500,1662
183,10500,1690
184,10500,1899
185,10500,2314
186,10500,2351
187,10500,2389
188,10500,2990
189,10500,2707
190,10500,2211
191,10500,2168
192,10500,2277
193,10500,2504
194,10500,3000
195,10500,3006
196,10500,1628
197,13500,1807
198,13500,2427
199,13500,2660
200,16500,2604
